task,target_key,wrapper,id_dim,id_dim_percent,data_seed,model_seed,split_seed,epochs,batch_size,root_dir,output_dir,predictions_csv,history_json,best_val_mae,test_mae,duration_sec,status,exit_code,start_time,end_time
mp_bandgap,band_gap,fastfood,1.0,100,123,123,123,350,config,MP_json,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim100_dataseed123_modelseed123_splitseed123_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim100_dataseed123_modelseed123_splitseed123_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim100_dataseed123_modelseed123_splitseed123_epochs350/history_val_mae.json,0.3300487593280074,0.33869822761025375,54403.0,success,0,recovered,recovered
mp_bandgap,band_gap,fastfood,0.8,80,123,123,123,350,config,MP_json,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim80_dataseed123_modelseed123_splitseed123_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim80_dataseed123_modelseed123_splitseed123_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim80_dataseed123_modelseed123_splitseed123_epochs350/history_val_mae.json,0.3312829631412601,0.3486721627171176,54465.0,success,0,recovered,recovered
mp_bandgap,band_gap,fastfood,0.6,60,123,123,123,350,config,MP_json,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim60_dataseed123_modelseed123_splitseed123_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim60_dataseed123_modelseed123_splitseed123_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim60_dataseed123_modelseed123_splitseed123_epochs350/history_val_mae.json,0.32703386614100294,0.33339010667011043,53765.0,success,0,recovered,recovered
mp_bandgap,band_gap,fastfood,0.5,50,123,123,123,350,config,MP_json,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim50_dataseed123_modelseed123_splitseed123_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim50_dataseed123_modelseed123_splitseed123_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim50_dataseed123_modelseed123_splitseed123_epochs350/history_val_mae.json,0.3234576475269055,0.32604025104926715,52313.0,success,0,2026-06-17T12:36:15+00:00,2026-06-18T03:08:08+00:00
mp_bandgap,band_gap,fastfood,0.45,45,123,123,123,350,config,MP_json,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim45_dataseed123_modelseed123_splitseed123_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim45_dataseed123_modelseed123_splitseed123_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim45_dataseed123_modelseed123_splitseed123_epochs350/history_val_mae.json,0.32144506075092616,0.33384937844643897,51934.0,success,0,2026-06-18T06:35:13+00:00,2026-06-18T21:00:47+00:00
mp_bandgap,band_gap,fastfood,0.2,20,123,123,123,350,config,MP_json,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim20_dataseed123_modelseed123_splitseed123_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim20_dataseed123_modelseed123_splitseed123_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim20_dataseed123_modelseed123_splitseed123_epochs350/history_val_mae.json,0.33524451092063595,0.3397077063989152,50310.0,success,0,2026-06-18T21:00:47+00:00,2026-06-19T10:59:17+00:00
mp_bandgap,band_gap,fastfood,0.1,10,123,123,123,350,config,MP_json,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim10_dataseed123_modelseed123_splitseed123_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim10_dataseed123_modelseed123_splitseed123_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim10_dataseed123_modelseed123_splitseed123_epochs350/history_val_mae.json,0.36129891400509395,0.3697319026280106,49317.0,success,0,2026-06-19T10:59:17+00:00,2026-06-20T00:41:14+00:00
mp_bandgap,band_gap,fastfood,0.05,5,123,123,123,350,config,MP_json,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim5_dataseed123_modelseed123_splitseed123_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim5_dataseed123_modelseed123_splitseed123_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim5_dataseed123_modelseed123_splitseed123_epochs350/history_val_mae.json,0.3880064327655179,0.40477615626008906,49325.0,success,0,2026-06-20T00:41:14+00:00,2026-06-20T14:23:19+00:00
mp_bandgap,band_gap,fastfood,1.0,100,456,456,456,350,config,MP_json_seed456,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim100_dataseed456_modelseed456_splitseed456_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim100_dataseed456_modelseed456_splitseed456_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim100_dataseed456_modelseed456_splitseed456_epochs350/history_val_mae.json,0.32257698756613074,0.3257250800671531,49811.0,success,0,2026-06-20T14:23:25+00:00,2026-06-21T04:13:36+00:00
mp_bandgap,band_gap,fastfood,0.8,80,456,456,456,350,config,MP_json_seed456,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim80_dataseed456_modelseed456_splitseed456_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim80_dataseed456_modelseed456_splitseed456_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim80_dataseed456_modelseed456_splitseed456_epochs350/history_val_mae.json,0.3168439055897206,0.3341399983857429,49354.0,success,0,2026-06-21T04:13:36+00:00,2026-06-21T17:56:10+00:00
mp_bandgap,band_gap,fastfood,0.6,60,456,456,456,350,config,MP_json_seed456,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim60_dataseed456_modelseed456_splitseed456_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim60_dataseed456_modelseed456_splitseed456_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim60_dataseed456_modelseed456_splitseed456_epochs350/history_val_mae.json,0.32256392213967955,0.32484404080841994,50311.0,success,0,2026-06-21T17:56:10+00:00,2026-06-22T07:54:41+00:00
mp_bandgap,band_gap,fastfood,0.5,50,456,456,456,350,config,MP_json_seed456,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim50_dataseed456_modelseed456_splitseed456_epochs350,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim50_dataseed456_modelseed456_splitseed456_epochs350/prediction_results_test_set.csv,results_alignn_bandgap_fastfood/alignn_bandgap_fastfood_dim50_dataseed456_modelseed456_splitseed456_epochs350/history_val_mae.json,0.322646961106069,0.3273015778394783,48728.0,success,0,2026-06-22T07:54:41+00:00,2026-06-22T21:26:49+00:00
