task,wrapper,optim,id_dim_frac,id_dim_percent,model_seed,split_seed,epochs,batch_size,n_conv,atom_fea_len,h_fea_len,n_h,output_dir,predictions_csv,best_val_mae,test_mae,duration_sec,status,exit_code,start_time,end_time
bandgap,fastfood,Adam,0.8,80,123,1123,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim80_dataseed1123_modelseed123,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim80_dataseed1123_modelseed123/mp_bandgap_test_results.csv,0.278,0.3093246817588806,14393,success,0,2026-06-22T14:06:05+03:00,2026-06-22T18:05:58+03:00
bandgap,fastfood,Adam,0.6,60,123,1123,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim60_dataseed1123_modelseed123,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim60_dataseed1123_modelseed123/mp_bandgap_test_results.csv,0.278,0.32618144154548645,14480,success,0,2026-06-22T14:06:05+03:00,2026-06-22T18:07:25+03:00
bandgap,fastfood,Adam,0.45,45,123,1123,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim45_dataseed1123_modelseed123,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim45_dataseed1123_modelseed123/mp_bandgap_test_results.csv,0.288,0.3440345823764801,14459,success,0,2026-06-22T14:18:20+03:00,2026-06-22T18:19:19+03:00
bandgap,fastfood,Adam,1.0,100,123,1123,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim100_dataseed1123_modelseed123,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim100_dataseed1123_modelseed123/mp_bandgap_test_results.csv,0.272,0.2970254719257355,16413,success,0,2026-06-22T13:59:37+03:00,2026-06-22T18:33:10+03:00
bandgap,fastfood,Adam,0.8,80,456,1456,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim80_dataseed1456_modelseed456,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim80_dataseed1456_modelseed456/mp_bandgap_test_results.csv,0.276,0.2773458957672119,14546,success,0,2026-06-22T18:05:58+03:00,2026-06-22T22:08:24+03:00
bandgap,fastfood,Adam,0.6,60,456,1456,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim60_dataseed1456_modelseed456,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim60_dataseed1456_modelseed456/mp_bandgap_test_results.csv,0.282,0.2974310517311096,14801,success,0,2026-06-22T18:07:25+03:00,2026-06-22T22:14:06+03:00
bandgap,fastfood,Adam,0.45,45,456,1456,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim45_dataseed1456_modelseed456,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim45_dataseed1456_modelseed456/mp_bandgap_test_results.csv,0.289,0.29582545161247253,14880,success,0,2026-06-22T18:19:19+03:00,2026-06-22T22:27:19+03:00
bandgap,fastfood,Adam,1.0,100,456,1456,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim100_dataseed1456_modelseed456,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim100_dataseed1456_modelseed456/mp_bandgap_test_results.csv,0.275,0.2924160361289978,16288,success,0,2026-06-22T18:33:10+03:00,2026-06-22T23:04:38+03:00
bandgap,fastfood,Adam,0.5,50,123,1123,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim50_dataseed1123_modelseed123,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim50_dataseed1123_modelseed123/mp_bandgap_test_results.csv,0.289,0.3104565143585205,14727,success,0,2026-06-22T22:09:22+03:00,2026-06-23T02:14:49+03:00
bandgap,fastfood,Adam,0.6,60,789,1789,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim60_dataseed1789_modelseed789,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim60_dataseed1789_modelseed789/mp_bandgap_test_results.csv,0.273,0.2901681065559387,14904,success,0,2026-06-22T22:14:06+03:00,2026-06-23T02:22:30+03:00
bandgap,fastfood,Adam,0.45,45,789,1789,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim45_dataseed1789_modelseed789,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim45_dataseed1789_modelseed789/mp_bandgap_test_results.csv,0.283,0.3058565855026245,14813,success,0,2026-06-22T22:27:19+03:00,2026-06-23T02:34:12+03:00
bandgap,fastfood,Adam,0.2,20,123,1123,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim20_dataseed1123_modelseed123,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim20_dataseed1123_modelseed123/mp_bandgap_test_results.csv,0.318,0.3643428385257721,13999,success,0,2026-06-22T23:04:46+03:00,2026-06-23T02:58:05+03:00
bandgap,fastfood,Adam,0.5,50,456,1456,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim50_dataseed1456_modelseed456,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim50_dataseed1456_modelseed456/mp_bandgap_test_results.csv,0.287,0.2979235053062439,14442,success,0,2026-06-23T02:14:49+03:00,2026-06-23T06:15:31+03:00
bandgap,fastfood,Adam,0.2,20,456,1456,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim20_dataseed1456_modelseed456,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim20_dataseed1456_modelseed456/mp_bandgap_test_results.csv,0.323,0.3337368965148926,13833,success,0,2026-06-23T02:58:05+03:00,2026-06-23T06:48:38+03:00
bandgap,fastfood,Adam,0.1,10,123,1123,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim10_dataseed1123_modelseed123,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim10_dataseed1123_modelseed123/mp_bandgap_test_results.csv,0.359,0.38156893849372864,14785,success,0,2026-06-23T06:15:36+03:00,2026-06-23T10:22:01+03:00
bandgap,fastfood,Adam,0.05,5,123,1123,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim5_dataseed1123_modelseed123,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim5_dataseed1123_modelseed123/mp_bandgap_test_results.csv,0.432,0.4474697411060333,13872,success,0,2026-06-23T06:48:44+03:00,2026-06-23T10:39:56+03:00
bandgap,fastfood,Adam,0.1,10,456,1456,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim10_dataseed1456_modelseed456,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim10_dataseed1456_modelseed456/mp_bandgap_test_results.csv,0.365,0.372629851102829,14125,success,0,2026-06-23T10:22:01+03:00,2026-06-23T14:17:26+03:00
bandgap,fastfood,Adam,0.05,5,456,1456,350,256,4,56,64,3,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim5_dataseed1456_modelseed456,results_mp_bandgap_fastfood/cgcnn_mp_bandgap_fastfood_dim5_dataseed1456_modelseed456/mp_bandgap_test_results.csv,0.426,0.427686482667923,13908,success,0,2026-06-23T10:39:56+03:00,2026-06-23T14:31:44+03:00
